t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.22,TAKEOFF,TO_PREFLIGHT,0.45,80,79.55,3.61,0,-0.18,0.05,89.34,0.1,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.14,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.059,0,0,1,0,0,0,0,0,0,0,0,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.01,2,0,0.18,0.18,1,3.45,0.18,0.02,0.04,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.48,TAKEOFF,TO_PREFLIGHT,0.45,80,79.55,3.61,0,-0.2,-0.07,89.33,0.102,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.03,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,518.01,2,0,0.04,0.04,6,19.23,0.18,0.04,0.3,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.74,TAKEOFF,TO_PREFLIGHT,0.32,80,79.68,3.6,0.01,-0.28,-1.23,89.33,0.111,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.3,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,518.04,2,0,0.04,0.04,11,19.23,0.08,0.04,0.56,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,3.6,0,-0.29,-0.3,89.33,0.118,0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.11,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,518.11,2,0,0.04,0.04,16,19.23,0.08,0.04,0.82,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.26,TAKEOFF,TO_PREFLIGHT,0.05,80,79.95,3.62,-0.01,-0.12,21.17,89.33,0.119,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.65,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,518.1,2,0,0.04,0.04,21,19.23,0.08,0.04,1.08,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.52,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.61,0.01,-0.17,-13.62,89.34,0.112,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.59,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,518.11,2,0,0.04,0.04,26,19.23,0.08,0.04,1.34,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.78,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,3.6,0,-0.25,-3.51,89.35,0.105,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.03,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,518.1,2,0,0.04,0.04,31,19.23,0.08,0.04,1.6,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.04,TAKEOFF,TO_PREFLIGHT,0,80,80,3.61,-0.01,-0.2,68.25,89.36,0.104,0.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.33,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,518.11,2,0,0.04,0.04,36,19.23,0.08,0.04,1.86,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.36,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.61,0,-0.2,-6.13,89.37,0.111,0.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.23,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72,518.1,2,0,0.08,0.08,41,15.63,0.08,0.04,2.18,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.64,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,3.6,0,-0.24,-1.64,89.37,0.116,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.03,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.03,518.1,2,0,0.08,0.08,45,14.29,0.08,0.06,2.46,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.92,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,3.61,0,-0.23,3.66,89.38,0.115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.14,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-1.061,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.01,518.1,2,0,0.08,0.08,49,14.29,0.08,0.06,2.74,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
